"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2022","62.9182","60.9900","63.3230","60.8200","","3.16%"
"11/01/2022","60.9900","61.4775","62.3590","59.9835","","-0.79%"
"10/01/2022","61.4775","58.4500","64.9150","56.9074","","5.18%"
"09/01/2022","58.4500","60.2300","62.5799","53.2875","","-2.96%"
"08/01/2022","60.2300","61.6200","62.6401","58.2493","","-2.26%"
"07/01/2022","61.6200","51.4500","64.5988","51.3998","","19.77%"
"06/01/2022","51.4500","61.5000","62.4923","50.1006","","-16.34%"
"05/01/2022","61.5000","70.9600","70.9600","55.8383","","-13.33%"
"04/01/2022","70.9600","83.2000","84.9917","70.3221","","-14.71%"
"03/01/2022","83.2000","94.6025","121.2100","82.9525","","-12.05%"
"02/01/2022","94.6025","77.3792","109.1239","74.2873","","22.26%"
"01/01/2022","77.3792","74.6539","80.3251","74.1898","","3.65%"
"12/01/2021","74.6539","74.0838","75.1295","73.1070","","0.77%"
"11/01/2021","74.0838","70.9464","75.8907","70.5283","","4.42%"
"10/01/2021","70.9464","72.7514","73.2325","69.2347","","-2.48%"
"09/01/2021","72.7514","73.2274","73.6184","72.2500","","-0.65%"
"08/01/2021","73.2274","73.1409","74.5781","72.6923","","0.12%"
"07/01/2021","73.1409","73.1925","75.3361","72.8178","","-0.02%"
"06/01/2021","73.1522","73.2636","73.7045","71.5630","","-0.38%"
"05/01/2021","73.4341","75.1859","75.3481","73.1646","","-2.36%"
"04/01/2021","75.2073","75.6500","78.0207","74.2151","","-0.65%"
"03/01/2021","75.6987","74.6196","76.6440","72.5404","","1.45%"
"02/01/2021","74.6196","75.7404","76.2821","73.1509","","-1.48%"
"01/01/2021","75.7404","74.4121","76.4995","73.0857","","1.79%"
"12/01/2020","74.4121","76.4033","76.4123","72.6629","","-2.61%"
"11/01/2020","76.4033","79.5257","80.9205","75.3270","","-3.93%"
"10/01/2020","79.5257","77.6319","79.5905","76.0220","","2.44%"
"09/01/2020","77.6319","74.0718","79.9438","73.3757","","4.81%"
"08/01/2020","74.0718","74.4114","75.9878","72.6438","","-0.46%"
"07/01/2020","74.4114","71.1734","74.4947","70.2013","","4.55%"
"06/01/2020","71.1734","70.1445","71.3213","68.0563","","1.47%"
"05/01/2020","70.1445","74.3813","75.9330","70.1445","","-5.70%"
"04/01/2020","74.3813","78.4426","79.3351","72.6449","","-5.18%"
"03/01/2020","78.4426","66.8806","81.6654","65.3718","","17.29%"
"02/01/2020","66.8806","63.9203","67.6273","62.5671","","4.63%"
"01/01/2020","63.9203","61.9863","63.9415","60.8865","","3.12%"
"12/01/2019","61.9863","64.3195","64.4819","61.5403","","-3.63%"
"11/01/2019","64.3195","64.1328","64.4618","63.1815","","0.29%"
"10/01/2019","64.1328","64.8569","65.5577","63.5624","","-1.12%"
"09/01/2019","64.8569","66.7657","67.1229","63.6178","","-2.86%"
"08/01/2019","66.7657","63.6284","67.0210","63.6250","","4.93%"
"07/01/2019","63.6284","63.2305","63.9788","62.5653","","0.63%"
"06/01/2019","63.2305","65.4306","65.5915","62.4997","","-3.36%"
"05/01/2019","65.4306","64.6373","65.5983","64.1530","","1.23%"
"04/01/2019","64.6373","65.6340","65.8261","63.6600","","-1.52%"
"03/01/2019","65.6340","65.9151","66.3013","63.6471","","-0.43%"
"02/01/2019","65.9151","65.4103","67.1574","65.1670","","0.77%"
"01/01/2019","65.4103","69.8319","69.8326","65.1713","","-6.33%"
"12/01/2018","69.8319","66.9510","69.9427","66.0028","","4.30%"
"11/01/2018","66.9510","65.8789","68.2775","65.4319","","1.63%"
"10/01/2018","65.8789","65.5503","67.0725","64.8565","","0.50%"
"09/01/2018","65.5503","67.5458","70.5897","65.2283","","-2.95%"
"08/01/2018","67.5458","62.5078","69.0010","62.4910","","8.06%"
"07/01/2018","62.5078","62.7338","63.7818","61.6538","","-0.36%"
"06/01/2018","62.7338","62.4030","64.1873","61.7060","","0.53%"
"05/01/2018","62.4030","62.9408","64.1935","60.9633","","-0.85%"
"04/01/2018","62.9408","57.1444","65.0144","57.1444","","10.14%"
"03/01/2018","57.1444","56.3291","58.0234","56.2690","","1.45%"
"02/01/2018","56.3291","56.2075","58.7583","55.5655","","0.22%"
"01/01/2018","56.2075","57.6114","57.6114","55.5973","","-2.44%"
"12/01/2017","57.6114","58.4380","59.3811","57.3927","","-1.41%"
"11/01/2017","58.4380","58.3289","60.4124","58.0118","","0.19%"
"10/01/2017","58.3289","57.4898","58.7458","56.9956","","1.46%"
"09/01/2017","57.4898","58.0060","58.5741","56.7935","","-0.89%"
"08/01/2017","58.0060","59.7719","60.8357","57.9844","","-2.95%"
"07/01/2017","59.7719","58.9401","60.9884","58.7825","","1.41%"
"06/01/2017","58.9401","56.5617","60.4192","56.1125","","4.20%"
"05/01/2017","56.5617","56.9311","58.8033","56.0007","","-0.65%"
"04/01/2017","56.9311","56.2665","57.5506","55.7253","","1.18%"
"03/01/2017","56.2665","58.3058","59.6053","55.8808","","-3.50%"
"02/01/2017","58.3058","60.1589","60.3979","56.5701","","-3.08%"
"01/01/2017","60.1589","61.2730","61.2865","58.9786","","-1.82%"
"12/01/2016","61.2730","64.1420","64.3440","60.1189","","-4.47%"
"11/01/2016","64.1420","63.3823","66.4812","62.9151","","1.20%"
"10/01/2016","63.3823","62.8343","63.4921","61.8510","","0.87%"
"09/01/2016","62.8343","65.3317","65.9735","62.6585","","-3.82%"
"08/01/2016","65.3317","66.0429","67.0185","63.4193","","-1.08%"
"07/01/2016","66.0429","63.9731","67.1548","62.7597","","3.24%"
"06/01/2016","63.9731","66.6968","67.6776","63.4277","","-4.08%"
"05/01/2016","66.6968","64.6542","67.3038","64.4075","","3.16%"
"04/01/2016","64.6542","67.0288","69.4728","64.0046","","-3.54%"
"03/01/2016","67.0288","75.1682","75.1682","66.7170","","-10.83%"
"02/01/2016","75.1682","75.4644","80.6000","74.5206","","-0.39%"
"01/01/2016","75.4644","73.5963","85.7520","72.6455","","2.54%"
"12/01/2015","73.5963","66.4888","73.6222","66.0833","","10.69%"
"11/01/2015","66.4888","63.9454","66.9866","62.3561","","3.98%"
"10/01/2015","63.9454","65.4532","66.6476","60.8451","","-2.30%"
"09/01/2015","65.4532","64.2768","69.2889","64.2768","","1.83%"
"08/01/2015","64.2768","61.7417","71.6014","61.7417","","4.11%"
"07/01/2015","61.7417","55.2806","61.7507","55.2704","","11.69%"
"06/01/2015","55.2806","52.3212","56.3661","53.0322","","5.66%"
"05/01/2015","52.3212","51.6513","52.1965","50.3630","","1.30%"
"04/01/2015","51.6513","58.1993","58.4863","49.4550","","-11.25%"
"03/01/2015","58.1993","61.6207","63.0344","56.2019","","-5.55%"
"02/01/2015","61.6207","68.8629","70.4525","59.8819","","-10.52%"
"01/01/2015","68.8629","55.9077","71.7575","55.9077","","23.17%"
"12/01/2014","55.9077","50.4085","80.0000","50.4085","","10.91%"
"11/01/2014","50.4085","43.0340","50.4085","43.0340","","17.14%"
"10/01/2014","43.0340","39.5727","43.6382","39.3822","","8.75%"
"09/01/2014","39.5727","37.0749","39.7205","36.6736","","6.74%"
"08/01/2014","37.0749","35.7590","37.0825","35.6201","","3.90%"
"07/01/2014","35.6848","34.4770","35.9046","33.7906","","4.99%"
"06/01/2014","33.9880","34.9100","35.2520","33.5400","","-2.67%"
"05/01/2014","34.9200","35.6330","35.9070","34.0000","","-2.00%"
"04/01/2014","35.6340","35.0320","36.3530","34.9240","","1.67%"
"03/01/2014","35.0470","36.6410","36.7320","35.0320","","-2.78%"
"02/01/2014","36.0500","35.1550","36.2670","34.5300","","2.48%"
"01/01/2014","35.1760","32.8500","35.4530","32.8400","","6.93%"
"12/01/2013","32.8950","33.1360","33.2900","32.4670","","-0.77%"
"11/01/2013","33.1490","32.1000","33.2420","32.0680","","3.32%"
"10/01/2013","32.0830","32.3750","32.4720","31.6160","","-0.96%"
"09/01/2013","32.3930","33.2730","33.5400","31.5100","","-2.63%"
"08/01/2013","33.2680","32.9200","33.3250","32.7500","","0.93%"
"07/01/2013","32.9600","32.8580","33.3730","32.2100","","0.38%"
"06/01/2013","32.8350","31.9180","33.0720","31.4910","","2.86%"
"05/01/2013","31.9220","31.1230","32.0220","30.9600","","2.55%"
"04/01/2013","31.1280","31.0470","31.9100","30.7700","","0.16%"
"03/01/2013","31.0780","30.6600","31.1400","30.5700","","1.40%"
"02/01/2013","30.6500","30.0250","30.6920","29.8300","","2.06%"
"01/01/2013","30.0300","30.5530","30.5800","29.9600","","-1.73%"
"12/01/2012","30.5580","30.8580","31.0380","30.2320","","-0.99%"
"11/01/2012","30.8650","31.3520","31.8470","30.7750","","-1.53%"
"10/01/2012","31.3430","31.2880","31.5700","30.6430","","0.51%"
"09/01/2012","31.1850","32.2450","32.5020","30.3750","","-3.30%"
"08/01/2012","32.2500","32.1990","32.6570","31.4240","","0.12%"
"07/01/2012","32.2110","32.4400","33.0940","31.7860","","-0.57%"
"06/01/2012","32.3950","33.3860","34.1210","32.0340","","-3.01%"
"05/01/2012","33.4010","29.3550","33.6260","29.3000","","13.73%"
"04/01/2012","29.3680","29.3920","29.8740","29.1310","","0.16%"
"03/01/2012","29.3200","29.0810","29.7860","28.8500","","0.81%"
"02/01/2012","29.0850","30.2980","30.4380","28.8410","","-4.04%"
"01/01/2012","30.3100","32.1940","32.2250","30.0350","","-5.88%"
"12/01/2011","32.2040","30.7240","32.3390","30.6590","","4.79%"
"11/01/2011","30.7320","30.2240","31.6770","30.0400","","1.66%"
"10/01/2011","30.2300","32.1440","32.9020","29.6330","","-6.10%"
"09/01/2011","32.1940","28.8380","32.5250","28.8080","","11.62%"
"08/01/2011","28.8430","27.6110","30.1720","27.4960","","4.36%"
"07/01/2011","27.6380","27.8700","28.4540","27.3920","","-1.03%"
"06/01/2011","27.9260","27.9700","28.3920","27.6410","","-0.15%"
"05/01/2011","27.9690","27.3600","28.5420","27.1260","","2.05%"
"04/01/2011","27.4070","28.4270","28.5030","27.2300","","-3.65%"